encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
94,supervisor,36,salario,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,estres,comodo comodo,23,masculino,soltero,apodaca,secundaria,0,Estrés y Carga de Trabajo,Positivo
95,otro,36,ubicacion empresa,Desacuerdo,Desacuerdo,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,0,0,liderazgo,comodo,41,masculino,casado,apodaca,preparatoria,3,Otros,Positivo
96,administrativo,1,razones personales,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,horarios queda mas tiempo debido,comodo aprendiendo,26,femenino,soltero,apodaca,licenciatura,0,Horario,Positivo
97,administrativo,2,salario,De Acuerdo,Neutro,De Acuerdo,Neutro,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,bien,comodo,49,masculino,casado,apodaca,preparatoria,1,Otros,Positivo
98,operador,1,ubicacion empresa,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,1,0,montacargas,comodo,43,masculino,casado,pesqueria,preparatoria,2,Estrés y Carga de Trabajo,Positivo
99,administrativo,36,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,rutina,contento,48,masculino,casado,guadalupe,otro,3,Otros,Positivo
100,operador,1,prestaciones,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,salario sabados dias nomina,comodo normal,27,masculino,union libre,pesqueria,preparatoria,2,Salario y Prestaciones,Positivo
101,embarque,1,otro,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,comodo,20,masculino,soltero,apodaca,secundaria,0,Otros,Positivo
102,supervisor,36,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,bien,contento,41,masculino,soltero,apodaca,preparatoria,1,Otros,Positivo
103,administrativo,36,razones personales,Desacuerdo,Desacuerdo,Neutro,De Acuerdo,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,0,0,estres sueldo confianza,mayor parte tiempo comodo,28,femenino,soltero,apodaca,preparatoria,2,Salario y Prestaciones,Positivo
104,operador,4,ubicacion empresa,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,pocas prestaciones salario,comodo,21,masculino,soltero,apodaca,secundaria,0,Salario y Prestaciones,Positivo
105,administrativo,1,salario,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,temperatura,comodo,39,femenino,divorciado,otro,licenciatura,3,Otros,Positivo
106,administrativo,13,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,crecimiento personal,21,femenino,soltero,monterrey,licenciatura,0,Otros,Positivo
